"id","code","name"
"accounting","accounting","Accounting"
"airport","airport","Airport"
"amusement_park","amusement_park","Amusement park"
"aquarium","aquarium","Aquarium"
"art_gallery","art_gallery","Art gallery"
"atm","atm","Atm"
"bakery","bakery","Bakery"
"bank","bank","Bank"
"bar","bar","Bar"
"beauty_salon","beauty_salon","Beauty salon"
"bicycle_store","bicycle_store","Bicycle store"
"book_store","book_store","Book store"
"bowling_alley","bowling_alley","Bowling alley"
"bus_station","bus_station","Bus station"
"cafe","cafe","Cafe"
"campground","campground","Campground"
"car_dealer","car_dealer","Car dealer"
"car_rental","car_rental","Car rental"
"car_repair","car_repair","Car repair"
"car_wash","car_wash","Car wash"
"casino","casino","Casino"
"cemetery","cemetery","Cemetery"
"church","church","Church"
"city_hall","city_hall","City hall"
"clothing_store","clothing_store","Clothing store"
"convenience_store","convenience_store","Convenience store"
"courthouse","courthouse","Courthouse"
"dentist","dentist","Dentist"
"department_store","department_store","Department store"
"doctor","doctor","Doctor"
"electrician","electrician","Electrician"
"electronics_store","electronics_store","Electronics store"
"embassy","embassy","Embassy"
"fire_station","fire_station","Fire station"
"florist","florist","Florist"
"funeral_home","funeral_home","Funeral home"
"furniture_store","furniture_store","Furniture store"
"gas_station","gas_station","Gas station"
"gym","gym","Gym"
"hair_care","hair_care","Hair care"
"hardware_store","hardware_store","Hardware store"
"hindu_temple","hindu_temple","Hindu temple"
"home_goods_store","home_goods_store","Home goods store"
"hospital","hospital","Hospital"
"insurance_agency","insurance_agency","Insurance agency"
"jewelry_store","jewelry_store","Jewelry store"
"laundry","laundry","Laundry"
"lawyer","lawyer","Lawyer"
"library","library","Library"
"liquor_store","liquor_store","Liquor store"
"local_government_office","local_government_office","Local government office"
"locksmith","locksmith","Locksmith"
"lodging","lodging","Lodging"
"meal_delivery","meal_delivery","Meal delivery"
"meal_takeaway","meal_takeaway","Meal takeaway"
"mosque","mosque","Mosque"
"movie_rental","movie_rental","Movie rental"
"movie_theater","movie_theater","Movie theater"
"moving_company","moving_company","Moving company"
"museum","museum","Museum"
"night_club","night_club","Night club"
"painter","painter","Painter"
"park","park","Park"
"parking","parking","Parking"
"pet_store","pet_store","Pet store"
"pharmacy","pharmacy","Pharmacy"
"physiotherapist","physiotherapist","Physiotherapist"
"plumber","plumber","Plumber"
"police","police","Police"
"post_office","post_office","Post office"
"real_estate_agency","real_estate_agency","Real estate agency"
"restaurant","restaurant","Restaurant"
"roofing_contractor","roofing_contractor","Roofing contractor"
"rv_park","rv_park","Rv park"
"school","school","School"
"shoe_store","shoe_store","Shoe store"
"shopping_mall","shopping_mall","Shopping mall"
"spa","spa","Spa"
"stadium","stadium","Stadium"
"storage","storage","Storage"
"store","store","Store"
"subway_station","subway_station","Subway station"
"supermarket","supermarket","Supermarket"
"synagogue","synagogue","Synagogue"
"taxi_stand","taxi_stand","Taxi stand"
"train_station","train_station","Train station"
"transit_station","transit_station","Transit station"
"travel_agency","travel_agency","Travel agency"
"veterinary_care","veterinary_care","Veterinary care"
"zoo","zoo","Zoo"
"administrative_area_level_1","administrative_area_level_1","Administrative area level 1"
"administrative_area_level_2","administrative_area_level_2","Administrative area level 2"
"administrative_area_level_3","administrative_area_level_3","Administrative area level 3"
"administrative_area_level_4","administrative_area_level_4","Administrative area level 4"
"administrative_area_level_5","administrative_area_level_5","Administrative area level 5"
"colloquial_area","colloquial_area","Colloquial area"
"country","country","Country"
"establishment","establishment","Establishment"
"finance","finance","Finance"
"floor","floor","Floor"
"food","food","Food"
"general_contractor","general_contractor","General contractor"
"geocode","geocode","Geocode"
"health","health","Health"
"intersection","intersection","Intersection"
"locality","locality","Locality"
"natural_feature","natural_feature","Natural feature"
"neighborhood","neighborhood","Neighborhood"
"place_of_worship","place_of_worship","Place of worship"
"political","political","Political"
"point_of_interest","point_of_interest","Point of interest"
"post_box","post_box","Post box"
"postal_code","postal_code","Postal code"
"postal_code_prefix","postal_code_prefix","Postal code prefix"
"postal_code_suffix","postal_code_suffix","Postal code suffix"
"postal_town","postal_town","Postal town"
"premise","premise","Premise"
"room","room","Room"
"route","route","Route"
"street_address","street_address","Street address"
"street_number","street_number","Street number"
"sublocality","sublocality","Sublocality"
"sublocality_level_4","sublocality_level_4","Sublocality level 4"
"sublocality_level_5","sublocality_level_5","Sublocality level 5"
"sublocality_level_3","sublocality_level_3","Sublocality level 3"
"sublocality_level_2","sublocality_level_2","Sublocality level 2"
"sublocality_level_1","sublocality_level_1","Sublocality level 1"
"subpremise","subpremise","Subpremise"
